"itemCode","itemValue"
"2287432","Modification of removable prosthesis following implant surgery-lower"
"2287441","Repair resin  denture base-lower"
"2287442","Repair cast framework-lower"
"2287443","Repair or replace broken clasp-lower"
"2287444","Replace broken or worn teeth -lower"
"2287445","Add tooth to existing partial denture-lower"
"2287446","Add clasp to existing partial denture-lower"
"2287447","Replacement of replaceable part of semi-precision or precision attachment,male or  female component-lower"
"2287450","Reline complete denture,chairside -lower"
"2287451","Reline partial denture,chairside-lower"
"2287460","Reline complete denture,laboratory-lower"
"2287461","Reline partial denture,laboratorylower"
"2287470","Rebase complete denture-lower"
"2287471","Rebase partial denture-lower"
"2287472","Tissue conditioning-complete denture-lower"
"2287473","Tissue conditioning-partial denture-lower"
"229","Other nasal sinus ops"
"2292200","Drainage of floor of mouth"
"2292201","Marsupialization of floor of mouth lesion"
"2299999","Other procedures and operations on floor of mouth"
"2301","Deciduous tooth extract"
"2309","Tooth extraction NEC"
"2311","Residual root removal"
"2319","Surg tooth extract NEC"
"232","Tooth restor by filling"
"233","Tooth restorat by inlay"
"2330010","Limited oral evaluation-problem focused"
"2330011","Comprehensive oral evaluation"
"2330012","Detaied and extensive oral evaluation-problem-focused, by report"
"2330013","Periodic oral evaluation"
"2330014","Re-evaluation-limited,problem focused(Established patient not post-operative visit)"
"2330020","Caries susceptibility tests"
"2330030","Dental diagnostic casts"
"2330031","Diagnostic intraoral and extraoral images"
"2330040","Bacteriologic studies for determination of pathologic agents"
"2330099","Unspecified oral evaluation,by report"
"2330400","Biopsy of mouth"
"2330499","Other diagnostic procedures on oral cavity"
"2330500","Intraoral occlusal film"
"2330502","Other intra oral films,by report"
"2331100","Removal of foreign body from mouth without incision"
"2331170","Removal of suture from mouth"
"2332100","Incision of mouth, unspecified structure"
"2332200","Drainage of mouth"
"2332600","Debridement of mouth"
"2332601","Wide excision of lesion of mouth"
"2332699","Other excision of mouth"
"2333900","Suture of laceration of mouth"
"2334000","Closure of fistula of mouth"
"2334800","Fullthickness skin graft to mouth"
"2334801","Mucosal graft to the mouth"
"2334808","Other skin graft to mouth"
"2334810","Attachment of pedical or flap to mouth"
"2334820","Extension of deepening of buccolabial or lingual sulcus"
"2334899","Other plastic repair of mouth"
"2337010","Oral administration of fluoride tablet for preventive purpose."
"2337099","Unspecified prophylaxis procedure,by report"
"2337310","Clinical crown lengthening - hard tissue "
"2337311","Osseous surgery (including flap entry and closure) - per quadrant"
"2337312","Bone replacement graft - first site in quadrant"
"2337313","Bone replacement graft - each additional site in quadrant"
"2337499","Unspecified prosthesis procedure,by report"
"2337510","Surgical placement of implant body (fixture):endosteal implant"
"2337511","Surgical placement of healing cap:endosteal implant"
"2337512","Surgical placement of implant body and healing cap :endosteal implant"
"2337513","Abutment placement or substitution:endosteal implant"
"2337514","Surgical placement:eposteal implant"
"2337515","Surgical placement:transosteal implant"
"2337516","Implant removal,by report"
"2337519","Other surgical technique for implant,by report"
"2337520","Prefabricated abutment"
"2337521","Custom abutment"
"2337522","Dental implant supported connecting bar"
"2337523","Abutment supported porcelain/ceramic crown"
"2337524","Abutment supported porcelain fused to metal crown,high noble metal"
"2337525","Abutment supported porcelain fused to metal crown,predominantly base metal"
"2337526","Abutment supported porcelain fused to metal crown,noble metal"
"2337527","Abutment supported castmetal crown,high noble metal"
"2337528","Abutment supported castmetal crown,predominantly base metal"
"2337529","Abutment supported castmetal crown,noble metal"
"2337530","Abutment supported retainer for porcelain/ceramic FPD"
"2337531","Abutment supported retainer for porcelain fused to metal FPD,high noble metal"
"2337532","Abutment supported retainer for porcelain fused to metal FPD,predominantly base  metal"
"2337533","Abutment supported retainer for porcelain fused to metal FPD,noble  metal"
"2337534","Abutment supported retainer for porcelain cast metal FPD,high noble  metal"
"2337535","Abutment supported retainer for porcelain cast metal FPD,predominantly base  metal"
"2337536","Abutment supported retainer for porcelain cast metal FPD,noble  metal"
"2337540","Implant supported porcelain/ceramic crown"
"2337541","Implant supported porcelain fused to metal crown,titanium,titanium alloy,high noble metal"
"2337542","Implant supported metal crown ,titanium,titanium alloy, high noble metal"
"2337543","Implant supported retainer for ceramic FDP"
"2337544","Implant supported retainer for porcelain fused to metal FDP(titanium,titanium alloy, high noble metal)"
"2337545","Implant supported retainer for cast  metal FDP titanium,titanium alloy, high noble metal"
"2337550","Implant/abutment supported fixed denture for completely edentulous arch"
"2337551","Implant/abutment supported fixed denture for partially edentulous arch"
"2337560","Implant maintainance procedures,including removal of prosthesis,cleansing of prosthesis and abutments and reinsertion of prosthesis"
"2337570","Repair implant abutment,by report"
"2337580","Repair implant supported prosthesis,by report"
"2337599","Unspecified implant procedure,by report"
"2337610","Removable appliance therapy"
"2337611","Partial fixed appliance therapy"
"2337620","Removable appliance therapy"
"2337621","Partial fixed appliance therapy"
"2337630","Removable functional appliance therapy"
"2337631","Partial appliance therapy"
"2337632","Simple full fixed appliance therapy"
"2337633","Complex full fixed appliance therapy"
"2337634","Orthognathic surgery therapy"
"2337640","Removable appliance therapy"
"2337641","Fixed functional appliance"
"2337642","Passive intraosal appliance e.g. transpalatal arch,nance"
"2337643","Active intraosal appliance,orthodontic force e.g. Quad helix"
"2337644","Active intraosal appliance,orthopedic force e.g. RMF"
"2337645","Head gear"
"2337646","Face mask"
"2337650","Removable appliance therapy"
"2337651","Fixed appliance therapy"
"2337660","Analysis of model,cephalogram or growth forecast and treatment prediction"
"2337662","Periodic orthodontic treatment visit"
"2337663","Orthodontic retention,removal of appliance,construction and placement of retainer(s)"
"2337664","Orthodontic treatment"
"2337665","Repair of orthodontic appliance"
"2337666","Replacement of lost or broken retainer"
"2337667","Set up model"
"2337699","Unspecified orthodontic procedure,by report"
"2338000","Wound dressing at mouth"
"2338300","Irrigation of mouth"
"2338610","Oral hygiene instructions"
"2338611","Oral hygiene instruction in conjuction with periodontic treatment"
"2338620","Nutritional coumseling for control of dental disease"
"2338621","Tobacco counseling for control and prevention of oral disease"
"2339910","Occlusion analysis-mounted case"
"2339911","Occlusal guard,by report"
"2339912","Fabrication of athletic mouthguard"
"2339913","Occlusal adjustment,-limited"
"2339914","Occlusal adjustment,-complete"
"2339915","Palliative/emergency treatment of dental pain -minor procedure"
"2339920","Consultation"
"2339999","Unspecified dental procedure, by report"
"2341","Crown application"
"2342","Fixed bridge insertion"
"2343","Insert removable bridge"
"2349","Dental restoration NEC"
"235","Tooth implantation"
"2350400","Closed (needle) biopsy of tongue"
"2350401","Open biopsy of tongue"
"2350499","Other diagnostic procedures - on tongue"
"2352100","Lingual frenulotomy procedures"
"2352199","Other glossotomy procedures"
"2352400","Lysis of adhesions of tongue"
"2352600","Lingual frenectomy adhesions"
"2352601","Excision of lesion or tissue of tongue"
"2352602","Partial glossectomy lesion"
"2352603","Complete glossectomy lesion"
"2352604","Radical glossectomy lesion"
"2352800","Destruction of lesion or tissue of tongue"
"2352801","Radiofrequency surgery of tongue base"
"2353900","Suture of laceration of tongue"
"2354899","Other repair and plastic operations on tongue"
"2359999","Other procedures and operations on tongue"
"236","Prosthet dental implant"
"2360400","Biopsy of gum"
"2360401","Biopsy of alveoli"
"2360499","Other diagnostic procedures on gums and alveoli"
"2362100","Incision of gum or alveolar bone"
"2362600","Excision of lesion or tissue of gum"
"2363900","Suture of laceration of gum"
"2364800","Ginngivoplasty, Gingivoplasty with bone or soft tissue graft"
"2367310","Debridement to enable comprehensive periodontal evaluation and diagnosis, -full arch"
"2367320","Periodontal scaling and root planing, per quadrant"
"2367330","Periodontal maintenance precedures, following active therapy, -full  mouth"
"2367340","Localized delivery of chemotherapeutic agents via a controlled release vehicle into diseased crevicular tissue,per tooth,by report"
"2367350","Gingivectomy or gingivoplasty-per tooth"
"2367351","Gingivectomy or gingivoplasty-per quadrant"
"2367352","Gingival curettage, surgical - per quadrant, by report"
"2367353","Gingival flap procedure, including root planing - per quadrant"
"2367354","Surgical revision procedure, per tooth"
"2367355","Distal or proximal wedge precedure (when not performed in conjunction with surgical  precedres in the same anatomical area)"
"2367360","Apically positioned flap "
"2367361","Coronal positioned flap"
"2367362","Semilunar flap"
"2367370","Pedicle soft tissue graft procedure"
"2367371","Free  soft tissue graft procedure (including donor site surgery)"
"2367372","Subepithelial connective tissue graft procedure (including donor site surgery)"
"2367380","Guided tissue regeneration-resorbable barrier, per site "
"2367381","Guided tissue regeneration-nonresorbable barrier, per site (includes membrane removal)"
"2367388","Periodontal surgery : post - operative procedures "
"2367399","Unspecified periodontal procedure,by report"
"2369999","Other procedures and operation on gum"
"2370","Root canal NOS"
"2370500","Intraoral periapical film for deciduous tooth including periapical and bitewing view"
"2371","Root canal w irrigation"
"2372","Root canal w apicoectomy"
"2372600","Surgical removal of deciduous teeth"
"2372700","Extraction of deciduous teeth"
"2373","Apicoectomy"
"2377010","Prophylaxis-child"
"2377020","Topical application of fluoride-child"
"2377021","Topical application of fluoride ,including prophylaxis,-child"
"2377030","Sealant per tooth,-primary"
"2377040","Preventive resin restoration,-primary"
"23771A1","Amalgam one surface,-primary"
"23771A2","Amalgam two surface,-primary"
"23771A3","Amalgam three surface,-primary"
"23771A4","Amalgam four or more surfaces,-primary"
"23771B1","Resin-based composite one surface,anterior-primary"
"23771B2","Resin-based composite two surfaces,anterior-primary"
"23771B3","Resin-based composite three surfaces,anterior-primary"
"23771B4","Resin-based composite four or more surfaces or involving incisal angle,anterior-primary"
"23771B5","Resin-based composite crown, anterior-primary"
"23771C1","Resin-based composite one surface,posterior-primary"
"23771C2","Resin-based composite two surfaces,posterior-primary"
"23771C3","Resin-based composite-three or more surfaces,posterior-primary"
"23771C4","Resin-based composite four or more surfaces or involving incisal angle, posterior-primany"
"23771L1","Prefabricated stainless steel crown,-primary"
"2377210","Therapeutic pulpotomy,-primary"
"2377211","Gross pulpal debridement,-primary"
"2377220","Pulpal therapy(resorbable filling),anterior-primary,first and other visits,primary incisors and cuspids"
"2377221","Pulpal therapy(resorbable filling),anterior-primary,root filled visits"
"2377222","Pulpal therapy(resorbable filling),posterior-primary,first and other visits restoration,primary first and second molars"
"2377223","Pulpal therapy(resorbable filling),posterior-primary,root filled visits"
"2377340","Localized delivery of chemotherapeutic agents via a controlled release  vehicle into diseased crevicular tissue, per tooth, by report"
"2380010","Dental pulp vitality tests"
"2380500","Intraoral periapical film for permanent tooth including periapical and bitewing view"
"2381100","Removal of dental packing"
"2381101","Removal of dental wiring"
"2381200","Replacement of dental packing"
"2381201","Replacement of dental wiring"
"2381400","Removal of dental packing"
"2381401","Removal of dental wiring"
"2381402","Extraction of permanent teeth"
"2381500","Replacement of dental packing"
"2381501","Replacement of dental wiring"
"2382300","Exposure of tooth"
"2382600","Surgical removal of permanent teeth (nonimpacted tooth)"
"2382601","Surgical removal of permanent teeth (soft tissue impaction)"
"2382602","Surgical removal of permanent teeth (partial bony impaction)"
"2382603","Surgical removal of permanent teeth (complete bony impaction)"
"2382604","Surgical removal of permanent teeth (variation of impaction, embedded tooth)"
"2382770","Extraction of permanent teeth"
"2383700","Dental wiring of"
"2384900","Reimplantation teeth of"
"2385000","Tooth transplantation of"
"2387010","Prophylaxis-adult"
"2387020","Topical application of fluoride-adult(this code is used when reporting prophylaxis and fluoride procedures"
"2387021","Topical application of fluoride,including prophylaxis -adult"
"2387030","Sealant per tooth,-permanent"
"238703A","Sealant per tooth (Sealant 16)"
"238703B","Sealant per tooth (Sealant 17)"
"238703C","Sealant per tooth (Sealant 26)"
"238703D","Sealant per tooth (Sealant 27)"
"238703E","Sealant per tooth (Sealant 36)"
"238703F","Sealant per tooth (Sealant 37)"
"238703G","Sealant per tooth (Sealant 46)"
"238703H","Sealant per tooth (Sealant 47)"
"2387040","Preventive resin restoration,-permanent"
"2387188","Pin retention-per tooth, in addition to restroration"
"2387199","Unspecified restorative procedure,by report"
"23871A1","Amalgam one surfaces,-permanent"
"23871A2","Amalgam two surfaces,-permanent"
"23871A3","Amalgam three surfaces,-permanent"
"23871A4","Amalgam four or more surfaces,-permanent"
"23871B1","Resin-based composite one surface,anterior-permanent"
"23871B2","Resin-based composite two surfaces,anterior-permanent"
"23871B3","Resin-based composite three surfaces,anterior-permanent"
"23871B4","Resin-based composite four or more surfaces or involving incisal angle,anterior-permanent"
"23871C1","Resin-based composite -one surface,posterior-permanent"
"23871C2","Resin-based composite -two surfaces,posterior-permanent"
"23871C3","Resin-based composite -three surfaces,posterior-permanent"
"23871C4","Resin-based composite -four or more surfaces,posterior-permanent"
"23871E1","Inlay metallic one surface"
"23871E2","Inlay metallic two surfaces"
"23871E3","Inlay metallic three or more surfaces"
"23871F1","Inlay porcelain/ceramic one surface"
"23871F2","Inlay porcelain/ceramic two surfaces"
"23871F3","Inlay porcelain/ceramic three or more surfaces"
"23871G1","Inlay resin based composite one surface"
"23871G2","Inlay resin based composite two surfaces"
"23871G3","Inlay resin based composite three or more surfaces"
"23871H2","Onlay metallic two surfaces"
"23871H3","Onlay metallic three surfaces"
"23871H4","Onlay metallic four or more surfaces"
"23871J2","Onlay porcelain/ceramic two surfaces"
"23871J3","Onlay porcelain/ceramic three surfaces"
"23871J4","Onlay porcelain/ceramic four or more surfaces"
"23871K2","Onlay resin based composite two surfaces"
"23871K3","Onlay resin based composite three surfaces"
"23871K4","Onlay resin based composite four or more surfaces"
"23871L1","Prefabricated stainless steel crown,-permanent"
"23871L2","Prefabricated resin crown"
"23871L3","Prefabricated stainlesss steel crown with resin window"
"23871N1","Crown porcelain fused to high noble metal"
"23871N2","Crown porcelain fused to predominantly base metal"
"23871N3","Crown porcelain fused to noble metal"
"23871N4","Crown-porcelain/ceramic"
"23871P1","Crown 3/4 cast high noble metal"
"23871P2","Crown 3/4 cast predominantly base metal"
"23871P3","Crown 3/4 cast noble metal"
"23871P4","Crown 3/4 porcelain/ceramic"
"23871P5","Crown full cast high noble metal"
"23871P6","Crown full cast predominantly base metal"
"23871P7","Crown full cast noble metal"
"23871Q1","Labial veneer(resin laminate)-chairside"
"23871Q2","Labial veneer(resin laminate)-laboratory"
"23871Q3","Labial veneer(porcelain laminate)-laboratory"
"23871Q4","Provisional crown"
"23871R1","Crown removal"
"23871R2","Post removal (not in conjunction with endodontic therapy)"
"23871R3","Recement inlay"
"23871R4","Recement crown"
"23871R5","Crown repair, by report"
"23871S1","Canal preparation and fitting of preformed dowel or post"
"23871S2","Core buildup,including any pins"
"23871S3","Cast post and core in addition to crown"
"23871S4","Prefabricated post and core in addition to crown"
"23871S5","Odontoplasty 1-2 teeth includes removal of enamel projections"
"23871S6","Enamel microabrasion"
"23871S8","Tooth preparation and other steps in the process of inlay/onlay,post and core,crown,and labial veneer"
"23871T1","Bleaching of discolored tooth,vital,chair side"
"23871T2","Bleaching of discolored tooth,vital home"
"23871T3","Bleaching of discolored tooth,non vital "
"23871U1","Sedative filling"
"23871U2","Temporary crown/band(fractured tooth)"
"2387210","Pulp cap,direct,-permanent"
"2387211","Pulp cap,indirect,-permanent"
"2387212","Therapeutic partial pulpotomy,-permanent"
"2387213","Therapeutic pulpotomy,-permanent"
"2387214","Gross pulpal debridement,-permanent"
"2387220","Endodontic therapy on permanent teeth,anterior"
"2387221","Endodontic therapy on permanent teeth,bicuspid"
"2387222","Endodontic therapy on permanent teeth,molar"
"2387223","Endodontic therapy on permanent teeth,root-filled visit,anterior"
"2387224","Endodontic therapy on permanent teeth,bicuspid,root filled visit"
"2387225","Endodontic therapy on permanent teeth,molar ,root filled visit"
"2387226","Endodontic therapy on permanent teeth,anterior,one visit"
"2387227","Endodontic therapy on permanent teeth,bicuspid,one visit"
"2387228","Endodontic therapy on permanent teeth,molar,one visit"
"2387230","Treatment of root canal obstrucyion non-surgical access"
"2387232","Internal root repair of perforation defects"
"2387240","Endodontic retreatment of previous root canal therapy,anterior"
"2387241","Endodontic retreatment of previous root canal therapy,bicuspid"
"2387242","Endodontic retreatment of previous root canal therapy,-molar"
"2387243","Endodontic retreatment, previous ,root filled visit,-anterior"
"2387244","Endodontic retreatment ,previous ,root filled visit,-bicuspid"
"2387245","Endodontic retreatment,root filled visit,-molar"
"2387250","Apexification/recalcification-initail visit"
"2387251","Apexification/recalcification-interim medication replacement"
"2387252","Apexification/recalcification-final visit"
"2387260","Apicoectomy/periradicular surgery, 1 tooth,-anterior"
"2387264","Apicoectomy/periradicular surgery, 1 root,-bicuspid"
"2387265","Apicoectomy/periradicular surgery, 2 roots,-bicuspid"
"2387266","Apicoectomy/periradicular surgery, 1 root,-molar"
"2387267","Apicoectomy/periradicular surgery, 2 roots,-molar"
"2387268","Apicoectomy/periradicular surgery, 3 roots,-molar"
"2387270","Retrograde filling -1 root"
"2387280","Root amputation, 1 root "
"2387281","Root amputation, 1 root, without mucoperiosteal flap"
"2387282","Root amputation, 2 root "
"2387283","Root amputation, 2 root, without mucoperiosteal flap"
"2387284","Hemisection (including any root removal), not including root canal therapy"
"2387285","Intentional reimplantation ( including necessary splinting)"
"238728e","Root canal therapy, unspecified"
"2387290","Surgical procedure for isolation of tooth with rubber dam"
"2387299","Unspecified endodontic procedure"
"2387310","Provisional splinting - intracoronal"
"2387311","Provisional splinting - extracoronal"
"2387410","Removable bridge,including clasps and teeth"
"2387420","Replace missing or broken teeth-complete denture,each tooth"
"23874A1","Crown-porcelain fused to high noble metal"
"23874A2","Crown-porcelain fused topredominantly base metal"
"23874A3","Crown-porcelain fused to noble metal"
"23874B1","Crown-porcelain full cast high noble mental"
"23874B2","Crown-porcelain full cast predominantly base  mental"
"23874B3","Crown-porcelain full cast  noble metal"
"23874C1","Crown-3/4 cast high noble mental"
"23874C2","Crown-3/4 cast predominantly base mental"
"23874C3","Crown-3/4 cast noble metal"
"23874C4","Crown-3/4 porcelain/ceramic"
"23874E1","Crown - porcelain/ceramic"
"23874F1","Retainer-cast metal for resin bonded fixed prosthesis"
"23874F2","Retainer-porcelain/ceramic for resin bonded fixed prosthesis"
"23874G1","Inlay-metallic-two surfaces"
"23874G2","Inlay-metallic-three or more surfaces"
"23874G3","Onlay-metallic-three surfaces"
"23874G4","Onlay-metallic-four or more surfaces"
"23874H5","Inlay/Onlay-porcelain/ceramic"
"23874J1","Pontic-porcelain fused to high noble metal"
"23874J2","Pontic-porcelain fused to predominantly base metal"
"23874J3","Pontic-porcelain fused to noble metal"
"23874K1","Pontic-cast high noble metal"
"23874K2","Pontic-cast predominantly base metal"
"23874K3","Pontic-cast noble metal"
"23874L1","Pontic-resin with high  noble metal"
"23874L2","Pontic-resin with predominantly base metal"
"23874L3","Pontic-resin with  noble metal"
"23874M1","Pontic-porcelain/ceramic"
"23874N1","Core build up for retainer,including any pins"
"23874P1","Prefabricated post and core in addition to fixed partial denture retainer"
"23874P2","Each additional prefabricated post-same tooth"
"23874Q1","Each post as part of fixed partial denture retainer"
"23874Q2","Each post and core in addition to fixed partial denture retainer"
"23874Q3","Each additional cast post-same tooth"
"23874R1","Coping-metal"
"23874R2","การทำ coping abutment ด้วยวัสดุบูรณะฟัน"
"23874S1","Stress breaker"
"23874T1","Precision attachment"
"23874U1","Connector bar"
"23874V1","Recement fixed partial denture"
"23874V2","Fixed partial denture repair,by report"
"23874V3","Removal of fixed partial denture"
"2392600","Surgical removal of abnormal teeth"
"2392700","Extraction of abnormal teeth"
"240","GUM OR ALVEOLAR INCISION"
"2400400","Biopsy of bony palate"
"2402600","Local excision of lesion or tissue of bony palate"
"2402601","Wide excision of lesion or tissue of bony palate"
"2407410","Obturator prosthesis,surgical"
"2407411","Obturator prosthesis,defenitive"
"2407412","Obturator prosthesis,modification"
"2407415","Obturator prosthesis,interim"
"2407420","Feeding aid"
"2409999","Other procedures and operation on hard palate"
"2410400","Biopsy of soft palate"
"2411","GUM BIOPSY"
"2412","ALVEOLUS BIOPSY"
"2412600","Excision of lesion of soft palate"
"2412601","Wide excision of lesion of soft palate"
"2413900","Suture of laceration of palate"
"2414700","Revision of cleft palate repair	"
"2414800","Correction of cleft palate"
"2414801","Palatoplasty reconstruction of palate"
"2414802","Uvulopalatoplasty (UPP) of"
"2414803","Uvulopalatopharyngoplasty (UPPP) of"
"2414804","Laserassisted uvulopalatoplasty (LAUP)"
"2414806","Radiofrequency surgery of soft palate"
"2414899","Other plastic repair of palate"
"2417410","Speech aid prosthesis,pediatric"
"2417411","Speech aid prosthesis,adult"
"2417412","Palate lift prosthesis,defenitive"
"2419","TOOTH & GUM DX PROC NEC"
"2419999","Other procedures and operation on soft palate"
"242","Gingivoplasty"
"2420400","Biopsy of uvula"
"2422600","Excision of uvula"
"2422601","Excision of uvula using laser"
"2423900","Repair of uvula"
"2429999","Other procedures and operations on uvula"
"2431","GUM LESION EXCISION"
"2432","SUTURE OF GUM LACERATION"
"2439","GUM OPERATION NEC"
"244","Exc of dental les of jaw"
"245","Alveoloplasty"
"246","EXPOSURE OF TOOTH"
"247","Applic orthodont appliance"
"248","OTHER ORTHODONTIC OPERAT"
"2491","EXTEN BUCCOLABIAL/SULCUS"
"2499","DENTAL OPERATION NEC"
"2501","CLOSED BIOPSY OF TONGUE"
"2502","Open biopsy of tongue"
"2509","TONGUE DX PROCEDURE NEC"
"251","Destruction tongue les"
"252","Partial glossectomy"
"253","Complete glossectomy"
"254","Radical glossectomy"
"2551","SUTURE OF TONGUE LACERAT"
"2559","Repair of tongue NEC"
"2591","LINGUAL FRENOTOMY"
"2592","LINGUAL FRENECTOMY"
"2593","LYSIS OF TONGUE ADHESION"
"2594","Other glossotomy"
"2599","Tongue operation NEC"
"260","INCIS SALIVARY GLND/DUCT"
"2611","CLOS BX SALIV GLAND/DUCT"
"2612","Open bx saliv gland/duct"
"2619","SALIV GLND DX PROC NEC"
"2621","Salivary cyst marsupial"
"2629","Saliv lesion excis NEC"
"2630","Sialoadenectomy NOS"
"2631","Partial sialoadenectomy"
"2632","Complete sialoadenectomy"
"2641","Suture of saliv glnd lac"
"2642","Salivary fistula closure"
"2649","Salivary repair NEC"
"2691","SALIVARY DUCT PROBING"
"2699","Salivary operation NEC"
"270","Drain face & mouth floor"
"271","Incision of palate"
"2721","Bony palate biopsy"
"2722","Uvula and soft palate bx"
"2723","Biopsy of lip"
"2724","MOUTH BIOPSY NOS"
"2729","ORAL CAVITY DX PROC NEC"
"2731","Loc exc bony palate les"
"2732","Wide exc bony palate les"
"2741","LABIAL FRENUMECTOMY"
"2742","Wide excision of lip les"
"2743","Excision of lip les NEC"
"2749","Excision of mouth NEC"
"2751","SUTURE OF LIP LACERATION"
"2752","SUTURE OF MOUTH LAC NEC"
"2753","Closure of mouth fistula"
"2754","Repair of cleft lip"
"2755","Full-thick grft to mouth"
"2756","Skin graft to mouth NEC"
"2757","Pedicle attach to mouth"
"2759","Mouth repair NEC"
"2761","Suture of palate lacerat"
"2762","Cleft palate correction"
"2763","Revis cleft palat repair"
"2764","Insert palatal implant"
"2769","Oth plastic repair palat"
"2771","Incision of uvula"
"2772","Excision of uvula"
"2773","Repair of uvula"
"2779","Other uvula operations"
"2791","LABIAL FRENOTOMY"
"2792","Mouth incision NOS"
"2799","Oral cavity ops NEC"
"280","Peritonsillar i & d"
"2811","Tonsil&adenoid biopsy"
"2819","Tonsil&adenoid dx op NEC"
"282","Tonsillectomy"
"283","Tonsillectomy/adenoidec"
"284","Excision of tonsil tag"
"285","Excision lingual tonsil"
"286","Adenoidectomy"
"287","Hemorr contrI post T & A"
"2891","Incis to remov tonsil FB"
"2892","Excis tonsil/adenoid les"
"2899","Tonsil&adenoid ops NEC"
"290","Pharyngotomy"
"2911","Pharyngoscopy"
"2912","PHARYNGEAL BIOPSY"
"2919","PHARYNGEAL DX PROC NEC"
"292","Exc branchial cleft cyst"
"2931","Cricopharyngeal myotomy"
"2932","Pharyngeal diverticulec"
"2933","Pharyngectomy"
"2939","Excis/destr les phar NEC"
"294","Plastic op on pharynx"
"2951","Suture of pharyngeal lac"
"2952","Clos branch cleft fistul"
"2953","Clos pharynx fistula NEC"
"2954","Lysis pharyngeal adhes"
"2959","Pharyngeal repair NEC"
"2991","PHARYNGEAL DILATION"
"2992","Divis glossopharyng nerv"
"2999","Pharyngeal operation NEC"
"3001","Larynx cyst marsupializ"
"3009","Destruct larynx les NEC"
"301","Hemilaryngectomy"
"3021","Epiglottidectomy"
"3022","Vocal cordectomy"
"3027713","การบริบาลหญิงหลังคลอดด้วยการนวดที่เต้านม"
"3027714","การบริบาลหญิงหลังคลอดด้วยการประคบสมุนไพรที่เต้านม"
"3029","Other part laryngectomy"
"303","Complete laryngectomy"
"304","Radical laryngectomy"
"310","INJECTION OF LARYNX"
"311","Temporary tracheostomy"
"3121","Mediastinal tracheostomy"
"3129","Other perm tracheostomy"
"313","Incis larynx trachea NEC"
"3141","Tracheoscopy thru stoma"
"3142","Larygnoscopy/tracheoscop"
"3143","Closed biopsy larynx"
"3144","Closed biopsy trachea"
"3145","Opn bx larynx or trachea"
"3148","OTH LARYNX DX PROCEDURE"
"3149","OTH TRACHEA DX PROCEDURE"
"315","Local destruc trach les"
"3161","Suture of laryngeal lac"
"3162","Laryngeal fistula clos"
"3163","Laryngostomy revision"
"3164","Laryngeal fx repair"
"3169","Other laryngeal repair"
"3171","Suture of tracheal lacer"
"3172","Closure of tracheostomy"
"3173","Trachea fistula clos NEC"
"3174","Revision of tracheostomy"
"3175","Tracheal reconstruction"
"3179","Other tracheal repair"
"3191","Laryngeal nerv division"
"3192","Lysis trach/larynx adhes"
"3193","REPLACE TRAC/LARYN STENT"
"3194","TRACHEAL INJECTION"
"3195","TRACHEOESOPH FISTULIZAT"
"3198","Oth laryngeal operation"
"3199","Other tracheal operation"
"3201","Endosc destruc bronc les"
"3209","Other destruc bronc les"
"321","Other bronchial excision"
"3220","Thorac exc lung lesion"
"3221","Emphysema bleb plication"
"3222","Lung vol reduction surg"
"3223","OPEN ABLTN LUNG LES/TISS"
"3224","PERC ABLTN LUNG LES/TISS"
"3225","THOR ABLTN LUNG LES/TISS"
"3226","ABLTN LUNG TISS NEC/NOS"
"3227","Bronchosc thermpl abl aw m"
"3228","Endosc destruc lung les"
"3229","Destroy loc lung les NEC"
"323","Segmental lung resection"
"3230","Thorac seg lung resect"
"3239","Oth seg lung resect NOS"
"324","Lobectomy of lung"
"3241","Thorac lobectomy lung"
"3249","Lobectomy of lung NEC"
"325","Complete pneumonectomy"
"3250","Thoracospc pneumonectomy"
"3259","Other pneumonectomy NOS"
"326","Rad dissec thorac struct"
"329","Other excision of lung"
"330","Incision of bronchus"
"331","Incision of lung"
"3320","Thoracoscopc lung biopsy"
"3321","Bronchoscopy thru stoma"
"3322","Fiber-optic bronchoscopy"
"3323","Other bronchoscopy"
"3324","Closed bronchial biopsy"
"3325","Open bronchial biopsy"
"3326","CLOSED LUNG BIOPSY"
"3327","Clos endoscopic lung bx"
"3328","Open lung biopsy"
"3329","Bronch/lung dx proc NEC"
"3331","DESTR PHREN-LUNG COLLAPS"
"3332","PNEMOTHORAX-LUNG COLLAPS"
"3333","PNEUMOPERIT-LUNG COLLAPS"
"3334","Thoracoplasty"
"3339","Surg collaps of lung NEC"
"3341","Bronchial lacerat suture"
"3342","Bronchial fistula clos"
"3343","Lung laceration closure"
"3348","Bronchial repair NEC"
"3349","Lung repair NEC"
"3350","Lung transplant NOS"
"3351","Unilat lung transplant"
"3352","Bilat lung transplant"
"336","Comb heart/lung transpla"
"3371","ENDO INSRT/REPL BRON VAL"
"3372","Endo pulm arwy flow msmt"
"3373","Endo ins/re brnc val,mul"
"3378","ENDO REM BRONCH DEVC/SUB"
"3379","ENDO INSRT BRONC DEF/SUB"
"3391","BRONCHIAL DILATION"
"3392","Bronchial ligation"
"3393","Puncture of lung"
"3398","Bronchial operation NEC"
"3399","Lung operation NEC"
"3401","Incision of chest wall"
"3402","Exploratory thoracotomy"
"3403","Reopen thoracotomy site"
"3404","Insertion of ICD"
